forcel,forcer
758.271912,13.269334
758.036011,12.880083
757.782715,12.474997
757.513428,12.055962
757.229675,11.624811
756.933044,11.183307
756.624634,10.73309
756.305969,10.275674
755.97821,9.812457
755.642761,9.344754
755.300659,8.87384
754.953064,8.400944
754.601013,7.92724
754.245483,7.453817
753.887512,6.981651
753.528015,6.511627
753.167847,6.044558
752.807922,5.581223
752.448914,5.122379
752.091736,4.668743
751.736938,4.220964
751.385254,3.779604
751.037476,3.345145
750.694214,2.918016
750.355957,2.49863
750.023499,2.087391
749.697205,1.684681
749.377563,1.290829
749.065063,0.906087
748.760315,0.530634
748.463806,0.164609
748.175964,0
747.897278,0
747.628052,0
747.368713,0
747.119568,0
746.881226,0
746.65387,0
746.437988,0
746.233948,0
746.041931,0
745.862366,0
745.695618,0
745.541931,0
745.401733,0
745.275391,0
745.163208,0
745.065369,0
744.9823,0
744.914185,0
744.861511,0
744.824524,0
744.803528,0
744.798889,0
744.810791,0
744.839417,0
744.885193,0
744.948364,0
745.029358,0
745.128357,0
745.245605,0
745.381226,0
745.535461,0
745.708557,0
745.900757,0
746.112305,0
746.343262,0
746.593933,0
746.864197,0
747.154297,0
747.464294,0
747.794373,0
748.144653,0
748.515137,0
748.905884,0
749.316895,0
749.748169,0
750.199585,0
750.671326,0
751.163452,0
751.675781,0
752.208435,0
752.761047,0
753.333923,0
753.926575,0
754.539246,0
755.171814,0
755.823975,0
756.495728,0
757.186707,0
757.89679,0
758.625732,0
759.373413,0
760.139587,0
760.924072,0
761.72644,0
762.546387,0
763.383606,0
764.237915,0
765.108765,0
765.995911,0
766.899109,0
767.817627,0
768.751282,0
769.699463,0
770.661926,0
771.638,0
772.627563,0
773.629944,0
774.644714,0
775.671204,0
776.709106,0
777.757751,0
778.816711,0
779.885498,0
780.963623,0
782.050415,0
783.145264,0
784.247742,0
785.357178,0
786.473267,0
787.595154,0
788.722412,0
789.854431,0
790.990601,0
792.130371,0
793.273071,0
794.418213,0
795.565247,0
796.713562,0
797.862549,0
799.011475,0
800.159851,0
801.307068,0
802.452637,0
803.595825,0
804.736206,0
805.872986,0
807.005615,0
808.133423,0
809.255798,0
810.372253,0
811.482239,0
812.585022,0
813.679871,0
814.766235,0
815.843506,0
816.91095,0
817.968079,0
819.01416,0
820.048523,0
821.070618,0
822.079468,0
823.074524,0
824.055054,0
825.020447,0
825.969849,0
826.902649,0
827.817993,0
828.71521,0
829.593445,0
830.452087,0
831.290222,0
832.107178,0
832.9021,0
833.674194,0
834.422546,0
835.146362,0
835.844849,0.084546
836.517151,1.123542
837.162415,2.216663
837.779785,3.365196
838.368286,4.570407
838.927002,5.833475
839.455078,7.155478
839.951538,8.5374
840.415588,9.980183
840.846252,11.484758
841.242554,13.052057
841.603699,14.682969
841.928406,16.37829
842.215942,18.138699
842.465454,19.964764
842.67572,21.856985
842.846191,23.815804
842.975403,25.841635
843.062622,27.934811
843.106689,30.095549
843.106628,32.32391
843.061646,34.619797
842.97052,36.982983
842.832336,39.413143
842.646301,41.909855
842.411255,44.472595
842.126038,47.1007
841.789795,49.793331
841.401672,52.549465
840.960632,55.367935
840.46582,58.247433
839.91626,61.186527
839.310852,64.183662
838.648804,67.237106
837.929077,70.344986
837.150818,73.505264
836.313293,76.715767
835.415466,79.974236
834.456543,83.27832
833.435425,86.625679
832.35144,90.013855
831.203613,93.440315
829.991211,96.902473
828.71344,100.397736
827.369385,103.923515
825.958496,107.477287
824.479736,111.056564
822.932251,114.658867
821.315552,118.281723
819.628906,121.922691
817.87146,125.579384
816.042847,129.249542
814.142273,132.931046
812.168884,136.621857
810.122253,140.320023
808.001709,144.023621
805.806763,147.730728
803.536987,151.43959
801.191711,155.148514
798.770569,158.855942
796.273071,162.56044
793.698669,166.260681
791.047058,169.955276
788.317871,173.642929
785.510864,177.322388
782.625854,180.992523
779.662415,184.652222
776.620117,188.300507
773.498901,191.936493
770.298523,195.55925
767.019043,199.167969
763.660156,202.761826
760.222046,206.340073
756.704346,209.902176
753.107239,213.447571
749.430542,216.975845
745.674316,220.486588
741.838806,223.979431
737.924194,227.45401
733.930542,230.910156
729.857971,234.347748
725.706665,237.766754
721.476807,241.167206
717.168762,244.549133
712.782959,247.912613
708.319641,251.257828
703.779053,254.584991
699.161865,257.894501
694.468262,261.186768
689.698853,264.462189
684.854126,267.721252
679.934753,270.964386
674.941406,274.192108
669.874695,277.40509
664.735168,280.604126
659.523682,283.789886
654.241028,286.963257
648.888,290.124908
643.465576,293.275635
637.974609,296.416168
632.41626,299.547516
626.79126,302.670532
621.100952,305.786346
615.346252,308.895782
609.528442,311.999908
603.648743,315.099548
597.708618,318.195587
591.70929,321.289001
585.652039,324.380829
579.538391,327.472107
573.36969,330.563782
567.147766,333.65683
560.874207,336.752014
554.550598,339.85022
548.178894,342.95224
541.760559,346.059113
535.297607,349.171753
528.791931,352.291077
522.245361,355.417816
515.660034,358.552704
509.037964,361.696442
502.381287,364.849854
495.692108,368.013702
488.972626,371.188843
482.225067,374.376068
475.451721,377.57608
468.65509,380.789459
461.837463,384.016968
455.001373,387.259155
448.14917,390.516876
441.283386,393.790802
434.406555,397.081635
427.521362,400.390045
420.630524,403.716644
413.736694,407.061951
406.84259,410.426758
399.950897,413.811615
393.064453,417.217224
386.185974,420.644226
379.31839,424.093079
372.464508,427.564331
365.627228,431.058411
358.809387,434.575928
352.013763,438.11734
345.243225,441.683289
338.500702,445.274048
331.788849,448.890106
325.110687,452.531647
318.468933,456.198975
311.866333,459.892395
305.305542,463.612244
298.789246,467.358673
292.319946,471.131897
285.90033,474.931824
279.532898,478.758514
273.220154,482.611725
266.964355,486.491455
260.767792,490.397552
254.63269,494.329865
248.561142,498.288025
242.555283,502.271637
236.617111,506.280212
230.748581,510.313202
224.951431,514.369995
219.227371,518.44989
213.577988,522.552124
208.004837,526.676147
202.50943,530.820862
197.093109,534.985168
191.757217,539.168152
186.502853,543.368591
181.33107,547.58551
176.242798,551.817688
171.238892,556.063843
166.320129,560.322632
161.487198,564.592651
156.740723,568.872375
152.081161,573.160095
147.508896,577.454468
143.024139,581.753906
138.62709,586.056885
134.317947,590.361389
130.096725,594.665833
125.963417,598.968323
121.917801,603.26709
117.959663,607.560303
114.088646,611.846313
110.304382,616.123169
106.606461,620.388916
102.994347,624.641663
99.467445,628.879333
96.02504,633.100098
92.666359,637.302124
89.390572,641.483459
86.196831,645.642151
83.08432,649.776184
80.052132,653.883728
77.099266,657.96283
74.224632,662.011414
71.427116,666.027954
68.705574,670.010742
66.058937,673.957886
63.486073,677.867371
60.985847,681.737793
58.557076,685.567139
56.19849,689.353821
53.908852,693.096375
51.686848,696.793274
49.531223,700.443115
47.440784,704.044189
45.414284,707.595032
43.450466,711.094421
41.548019,714.541016
39.705692,717.933594
37.922173,721.271057
36.196209,724.552246
34.526546,727.776184
32.911999,730.94165
31.351362,734.047791
29.843395,737.093445
28.386841,740.078186
26.980505,743.00116
25.623198,745.861694
24.313845,748.659058
23.051311,751.392761
21.834465,754.062073
20.662174,756.666504
19.5333,759.20575
18.446777,761.679626
17.401585,764.087708
16.396711,766.429688
15.431204,768.705261
14.504045,770.914246
13.614224,773.05658
12.760784,775.132324
11.942832,777.141418
11.159472,779.084045
10.409927,780.960144
9.693364,782.769836
9.008946,784.513062
8.35584,786.190125
7.733268,787.801453
7.140454,789.347107
6.576683,790.827637
6.041238,792.243164
5.533402,793.594177
5.052462,794.880859
4.597638,796.103821
4.168216,797.263367
3.763479,798.360229
3.382711,799.394836
3.025196,800.367554
2.690219,801.278992
2.377004,802.129578
2.084774,802.919922
1.812755,803.650696
1.56017,804.322388
1.326364,804.935852
1.11068,805.491455
0.912463,805.98999
0.730996,806.431702
0.565504,806.817688
0.415271,807.148438
0.279582,807.424866
0.157841,807.6474
0.04945,807.816895
0,807.933716
0,807.998718
0,808.012573
0,807.976013
0,807.889832
0,807.754822
0,807.571594
0,807.340637
0,807.062744
0,806.738708
0,806.369385
0,805.955505
0,805.497864
0,804.997131
0,804.453979
0,803.868958
0,803.243164
0,802.577393
0,801.872437
0,801.129028
0,800.348083
0,799.530212
0,798.676331
0.025427,797.78717
0.083737,796.86377
0.143831,795.906982
0.205472,794.917786
0.26848,793.896851
0.332676,792.845093
0.397823,791.763489
0.463682,790.652893
0.530074,789.514343
0.59682,788.348694
0.663802,787.157166
0.7309,785.940491
0.797935,784.699646
0.864788,783.435486
0.931281,782.149292
0.997295,780.842102
1.06271,779.514832
1.127467,778.168457
1.191506,776.804138
1.254768,775.422668
1.317133,774.025146
1.378483,772.612671
1.438757,771.18634
1.497838,769.747192
1.555724,768.296265
1.612416,766.834412
1.667854,765.362732
1.72198,763.882202
1.774732,762.393982
1.826053,760.898926
1.875881,759.398315
1.924277,757.892883
1.971242,756.383606
2.016834,754.87146
2.060994,753.357178
2.103722,751.842102
2.144959,750.327087
2.184764,748.813171
2.223138,747.301025
2.260139,745.791626
2.295829,744.285706
2.330206,742.784119
2.363211,741.28772
2.394845,739.797485
2.425166,738.314209
2.454235,736.838684
2.482111,735.371582
2.508854,733.913574
2.534464,732.465393
2.558941,731.027832
2.582285,729.601624
2.604496,728.1875
2.625634,726.786133
2.645758,725.398193
2.664928,724.024048
2.683144,722.664429
2.700406,721.319885
2.716715,719.991211
2.732069,718.678894
2.746529,717.383484
2.760213,716.105408
2.773123,714.845337
2.785318,713.603577
2.796737,712.380615
2.807381,711.177246
2.817311,709.993713
2.826584,708.830505
2.835261,707.687866
2.843402,706.566467
2.851007,705.466553
2.858075,704.388611
2.864606,703.333008
2.870661,702.300354
2.876358,701.290771
2.881758,700.304626
2.886859,699.342163
2.891663,698.403809
2.896168,697.489929
2.900375,696.600952
2.904285,695.737061
2.908016,694.898499
2.911628,694.08551
2.91512,693.298218
2.918434,692.536987
2.92157,691.802063
2.924526,691.093811
2.927304,690.412415
2.929962,689.758118
2.932561,689.130798
2.935101,688.530823
2.937581,687.958191
2.939942,687.413269
2.942184,686.896362
2.944308,686.407471
2.946431,685.946716
2.948554,685.51416
2.950677,685.109802
2.952801,684.733765
2.954805,684.386169
2.956691,684.067322
2.958516,683.7771
2.960342,683.515686
2.962228,683.282898
2.964173,683.078796
2.966119,682.903259
2.968004,682.756531
2.969831,682.638611
2.971597,682.549561
2.973365,682.489258
2.975191,682.457703
2.977018,682.45459
2.978844,682.480042
2.980611,682.533997
2.982258,682.616394
2.983846,682.727234
2.985434,682.866394
2.987022,683.033752
2.98861,683.228943
2.990198,683.452026
2.991726,683.702942
2.993195,683.981445
2.994664,684.287415
2.996132,684.620789
2.99766,684.981201
2.999247,685.368408
3.000835,685.782227
3.002362,686.222534
3.003831,686.689209
3.005299,687.181763
3.006827,687.699951
3.008415,688.243591
3.010062,688.812195
3.011709,689.405579
3.013296,690.023376
3.014824,690.665527
3.016351,691.331543
3.017939,692.020996
3.019586,692.733521
3.021292,693.468506
3.022999,694.22583
3.024646,695.005127
3.026234,695.805969
3.027821,696.627869
3.029468,697.470398
3.031235,698.332886
3.033061,699.214966
3.034887,700.115845
3.036654,701.035522
3.038361,701.973328
3.040068,702.928772
